price,rating,brand,RAM_GB,ROM_GB,Expandable_GB,Rear_MP,Front_MP,Battery_mAh
6199,3.8,POCO,4.0,64.0,2048,32,0.0,5200.0
6199,3.8,POCO,4.0,64.0,2048,32,0.0,5200.0
69900,4.6,APPLE,128.0,128.0,0,48,0.0,0.0
9999,4.2,POCO,8.0,128.0,1024,50,0.0,5160.0
6799,4.1,POCO,6.0,128.0,2048,32,0.0,5200.0
8999,4.1,POCO,6.0,128.0,1024,50,0.0,5160.0
8999,4.1,POCO,6.0,128.0,1024,50,0.0,5160.0
6799,4.1,POCO,6.0,128.0,2048,32,0.0,5200.0
8999,4.1,POCO,6.0,128.0,1024,50,0.0,5160.0
6199,3.8,POCO,4.0,64.0,2048,32,0.0,5200.0
9999,4.2,POCO,8.0,128.0,1024,50,0.0,5160.0
6499,4.2,SAMSUNG,4.0,64.0,1024,50,0.0,5000.0
13999,4.5,MOTOROLA,8.0,128.0,0,50,0.0,7000.0
6499,4.1,REDMI,3.0,64.0,2048,32,0.0,5200.0
1009,3.8,NOKIA,0.0,0.0,0,0,0.0,800.0
16999,4.4,REALME,6.0,128.0,0,50,0.0,6000.0
6999,4.4,REALME,4.0,64.0,2048,32,0.0,5000.0
7799,4.2,POCO,4.0,64.0,1024,50,0.0,5160.0
16999,4.4,REALME,6.0,128.0,0,50,0.0,6000.0
9999,4.2,MOTOROLA,4.0,128.0,1024,50,0.0,5000.0
10749,4.2,POCO,8.0,128.0,1024,108,0.0,5030.0
16999,4.3,MOTOROLA,8.0,128.0,1024,50,0.0,6720.0
7499,4.2,REDMI,4.0,128.0,2048,32,0.0,5200.0
7999,4.3,MOTOROLA,4.0,64.0,1024,50,0.0,7000.0
7499,4.2,REDMI,4.0,128.0,2048,32,0.0,5200.0
7999,4.3,MOTOROLA,4.0,64.0,1024,50,0.0,7000.0
109999,4.6,GOOGLE,16.0,256.0,0,48,0.0,4870.0
7999,4.4,Y2,4.0,64.0,256,12,0.0,3080.0
12499,4.3,POCO,6.0,128.0,0,50,0.0,5110.0
7439,4.3,REALME,4.0,64.0,0,13,0.0,6300.0
109999,4.6,GOOGLE,16.0,256.0,0,48,0.0,4870.0
109999,4.6,GOOGLE,16.0,256.0,0,48,0.0,4870.0
12499,4.3,POCO,6.0,128.0,0,50,0.0,5110.0
9999,4.1,SAMSUNG,4.0,128.0,1500,50,0.0,5000.0
12499,4.4,OPPO,4.0,128.0,2048,50,0.0,6000.0
9999,4.2,MOTOROLA,4.0,128.0,1024,50,0.0,5000.0
9699,4.2,REALME,6.0,128.0,2048,13,0.0,6300.0
20499,4.4,SAMSUNG,8.0,256.0,1024,50,0.0,5000.0
9999,4.2,MOTOROLA,4.0,128.0,1024,50,0.0,5000.0
19999,4.4,MOTOROLA,8.0,256.0,0,50,0.0,5500.0
6999,4.4,REALME,4.0,64.0,2048,32,0.0,5000.0
18499,4.4,SAMSUNG,8.0,128.0,1024,50,0.0,5000.0
6799,4.2,SAMSUNG,4.0,64.0,2048,50,0.0,5000.0
13999,4.5,MOTOROLA,8.0,128.0,0,50,0.0,7000.0
5999,4.3,AI+,4.0,64.0,1024,50,0.0,5000.0
69900,4.6,APPLE,128.0,128.0,0,48,0.0,0.0
7299,4.2,MOTOROLA,4.0,64.0,1024,50,0.0,5100.0
12499,4.3,MOTOROLA,8.0,128.0,1024,50,0.0,5000.0
17499,4.5,REALME,6.0,128.0,2048,50,0.0,7000.0
5999,4.3,AI+,4.0,64.0,1024,50,0.0,5000.0
109999,4.6,GOOGLE,16.0,256.0,0,48,0.0,4870.0
109999,4.6,GOOGLE,16.0,256.0,0,48,0.0,4870.0
6499,4.1,REDMI,3.0,64.0,2048,32,0.0,5200.0
7999,4.3,MOTOROLA,4.0,64.0,1024,50,0.0,7000.0
69900,4.6,APPLE,128.0,128.0,0,48,0.0,0.0
9999,4.1,SAMSUNG,4.0,128.0,1500,50,0.0,5000.0
109999,4.6,GOOGLE,16.0,256.0,0,48,0.0,4870.0
12999,4.4,VIVO,6.0,128.0,2048,50,0.0,6000.0
79900,4.6,APPLE,256.0,256.0,0,48,0.0,0.0
7395,4.3,REALME,4.0,64.0,2048,13,0.0,6300.0
13499,4.3,REDMI,6.0,128.0,0,50,0.0,5110.0
777,3.8,JMAX,0.0,0.0,0,3,0.0,800.0
12499,4.3,MOTOROLA,8.0,128.0,1024,50,0.0,5000.0
19999,4.4,MOTOROLA,8.0,256.0,0,50,0.0,5500.0
14499,4.3,POCO,8.0,256.0,0,50,0.0,5110.0
12998,4.2,REDMI,8.0,128.0,0,108,0.0,5030.0
10499,4.4,REALME,4.0,128.0,2048,32,0.0,6000.0
18499,4.4,VIVO,8.0,256.0,0,50,0.0,6500.0
11999,4.4,VIVO,4.0,128.0,2048,50,0.0,6000.0
17999,4.4,REALME,8.0,128.0,0,50,0.0,6000.0
6799,4.1,POCO,6.0,128.0,2048,32,0.0,5200.0
13999,4.5,MOTOROLA,8.0,128.0,0,50,0.0,7000.0
10899,4.2,POCO,8.0,128.0,1024,108,0.0,5030.0
13999,4.5,OPPO,6.0,128.0,2048,50,0.0,6000.0
7845,4.3,REALME,4.0,64.0,2048,13,0.0,6300.0
40999,4.6,SAMSUNG,8.0,128.0,0,50,0.0,4000.0
109999,4.6,GOOGLE,16.0,256.0,0,48,0.0,4870.0
7999,4.4,Y2,4.0,64.0,256,12,0.0,3080.0
15499,4.4,VIVO,6.0,128.0,0,50,0.0,6500.0
947,3.8,GFIVE,0.0,0.0,0,1,0.0,3000.0
109999,4.6,GOOGLE,16.0,256.0,0,48,0.0,4870.0
109999,4.6,GOOGLE,16.0,256.0,0,48,0.0,4870.0
17999,4.4,REALME,6.0,128.0,0,50,0.0,7000.0
6499,4.1,REDMI,3.0,64.0,2048,32,0.0,5200.0
9999,4.2,POCO,8.0,128.0,1024,50,0.0,5160.0
14499,4.3,POCO,8.0,256.0,0,50,0.0,5110.0
13499,4.3,REDMI,6.0,128.0,0,50,0.0,5110.0
7799,4.2,POCO,4.0,64.0,1024,50,0.0,5160.0
38999,4.4,REALME,12.0,512.0,0,50,0.0,7000.0
10997,4.3,REALME,6.0,128.0,0,50,0.0,6000.0
12499,4.3,POCO,6.0,128.0,0,50,0.0,5110.0
13499,4.3,REDMI,6.0,128.0,0,50,0.0,5110.0
31999,4.5,SAMSUNG,8.0,128.0,0,50,0.0,4700.0
19999,4.3,MOTOROLA,8.0,256.0,1024,50,0.0,5000.0
26918,4.4,SAMSUNG,8.0,256.0,1024,50,0.0,5000.0
22999,4.4,MOTOROLA,8.0,256.0,1024,50,0.0,5500.0
